datetime,Open,High,Low,Close,volume,rsi,signal,expiry
2026-03-24 14:15:00,22993.2,23037.9,22980.05,22981.1,5369621,57.89650752856277,,2026-03-24
2026-03-24 14:20:00,22981.2,22996.45,22920.0,22956.75,7362536,53.04721399219585,,2026-03-24
2026-03-24 14:25:00,22955.1,22964.3,22932.35,22945.6,5296190,50.943086987087966,,2026-03-24
2026-03-24 14:30:00,22945.1,22959.4,22926.4,22948.05,5870437,51.39925850534728,,2026-03-24
2026-03-24 14:35:00,22948.15,22954.1,22893.3,22895.95,7145141,42.37530054034732,,2026-03-24
2026-03-24 14:40:00,22896.15,22931.95,22882.65,22909.65,6801308,45.10455510995102,,2026-03-24
2026-03-24 14:45:00,22909.65,22917.75,22901.6,22914.95,10526851,46.16680216902706,,2026-03-24
2026-03-24 14:50:00,22915.9,22916.15,22883.9,22891.85,7424485,42.32279358967673,,2026-03-24
2026-03-24 14:55:00,22893.35,22927.15,22889.65,22916.35,7036623,47.33169711741846,,2026-03-24
2026-03-24 15:00:00,22916.35,22923.45,22875.35,22909.05,19638000,46.048494188561165,,2026-03-24
2026-03-24 15:05:00,22910.1,22932.1,22894.15,22916.55,16396542,47.61970441441157,,2026-03-24
2026-03-24 15:10:00,22916.9,22922.85,22898.65,22898.65,15114696,44.303472142228074,,2026-03-24
2026-03-24 15:15:00,22901.15,22927.05,22881.3,22919.7,17195164,48.817492920037104,,2026-03-24
2026-03-24 15:20:00,22918.85,22932.6,22915.05,22931.35,14357498,51.17594878210777,,2026-03-24
2026-03-24 15:25:00,22931.8,22961.7,22931.3,22958.4,10692266,56.220296764312806,,2026-03-24
2026-03-25 09:15:00,23064.4,23173.05,23063.2,23162.6,23335447,76.20580993186192,,2026-03-26
2026-03-25 09:20:00,23162.2,23202.75,23161.9,23188.5,12892802,77.60241130756927,,2026-03-26
2026-03-25 09:25:00,23189.65,23220.8,23188.9,23215.1,9602674,78.96778965544102,,2026-03-26
2026-03-25 09:30:00,23214.65,23238.2,23207.8,23233.45,8351681,79.87904372156466,,2026-03-26
2026-03-25 09:35:00,23234.85,23239.95,23202.55,23215.9,7925308,76.4667009347239,,2026-03-26
2026-03-25 09:40:00,23216.3,23278.05,23204.65,23270.9,7553156,79.43208121707195,,2026-03-26
2026-03-25 09:45:00,23272.95,23287.35,23262.05,23270.0,7004541,79.25608849046408,,2026-03-26
2026-03-25 09:50:00,23271.4,23289.8,23262.75,23287.7,6475769,80.18588701651062,,2026-03-26
2026-03-25 09:55:00,23287.55,23298.25,23269.35,23286.05,6566560,79.82668261883103,,2026-03-26
2026-03-25 10:00:00,23287.4,23304.7,23276.95,23280.85,6933311,78.6312015527402,,2026-03-26
2026-03-25 10:05:00,23281.7,23291.95,23246.55,23290.15,6294422,79.23028785050482,,2026-03-26
2026-03-25 10:10:00,23290.35,23310.35,23284.95,23305.55,5574261,80.21923877335566,,2026-03-26
2026-03-25 10:15:00,23306.6,23317.9,23289.95,23295.5,5743267,77.62172663462535,,2026-03-26
2026-03-25 10:20:00,23295.45,23313.65,23283.35,23292.2,5026967,76.74300681561739,,2026-03-26
2026-03-25 10:25:00,23293.5,23318.55,23291.9,23314.55,5281783,78.5168429478599,,2026-03-26
2026-03-25 10:30:00,23313.7,23324.95,23299.95,23310.25,4750553,77.29535568443535,,2026-03-26
2026-03-25 10:35:00,23310.4,23319.2,23302.0,23314.95,3672378,77.70365059024694,,2026-03-26
2026-03-25 10:40:00,23313.05,23369.6,23312.8,23366.65,5918702,81.6192618993317,,2026-03-26
2026-03-25 10:45:00,23366.25,23373.25,23357.0,23360.55,5097857,79.83771248473303,,2026-03-26
