criteria_timestamp,supertrend_signal_time,macd_signal_time,pattern_vwap_signal_time,criteria_type,criteria_breakout_price,symbol,expiry_date,strike_price,option_type,entry_signal,ENTRY_TIME,entry_price,stoploss,EXIT_TIME,exit_price,PNL,reason_for_exit
2024-06-14 13:50:00,2024-06-14 13:50:00,2024-06-14 13:35:00,2024-06-14 13:50:00,SHORT,23433.25,NIFTY,2024-06-20,23450.0,PUT,BUY,2024-06-14 13:50:00,127.6,23464.329270582304,2024-06-14 14:25:00,124.3,-3.299999999999997,MACD Crossover
2024-06-14 14:05:00,2024-06-14 13:50:00,2024-06-14 13:35:00,2024-06-14 14:05:00,SHORT,23438.65,NIFTY,2024-06-20,23450.0,PUT,BUY,2024-06-14 14:05:00,127.05,23453.89780705319,2024-06-14 14:25:00,124.3,-2.75,MACD Crossover
2024-06-14 13:50:00,2024-06-14 13:50:00,2024-06-14 13:35:00,2024-06-14 13:50:00,SHORT,23433.25,NIFTY,2024-06-20,23450.0,PUT,BUY,2024-06-14 13:50:00,127.6,23464.329270582304,2024-06-14 14:30:00,122.1,-5.5,Stoploss
2024-06-14 14:05:00,2024-06-14 13:50:00,2024-06-14 13:35:00,2024-06-14 14:05:00,SHORT,23438.65,NIFTY,2024-06-20,23450.0,PUT,BUY,2024-06-14 14:05:00,127.05,23453.89780705319,2024-06-14 14:30:00,122.1,-4.950000000000003,Stoploss
2024-06-18 09:15:00,2024-06-18 09:15:00,2024-06-18 09:15:00,2024-06-18 09:15:00,LONG,23530.4,NIFTY,2024-06-20,23550.0,CALL,BUY,2024-06-18 09:15:00,88.5,23507.773149562923,2024-06-18 10:15:00,106.75,18.25,Stoploss
2024-06-18 09:15:00,2024-06-18 09:15:00,2024-06-18 09:15:00,2024-06-18 09:15:00,LONG,23530.4,NIFTY,2024-06-20,23550.0,CALL,BUY,2024-06-18 09:15:00,88.5,23507.773149562923,2024-06-18 10:15:00,106.75,18.25,Stoploss
2024-06-18 09:25:00,2024-06-18 09:15:00,2024-06-18 09:15:00,2024-06-18 09:25:00,LONG,23516.25,NIFTY,2024-06-20,23500.0,CALL,BUY,2024-06-18 09:25:00,121.0,23507.773149562923,2024-06-18 10:15:00,138.4,17.400000000000006,Stoploss
2024-06-18 09:25:00,2024-06-18 09:15:00,2024-06-18 09:15:00,2024-06-18 09:25:00,LONG,23516.25,NIFTY,2024-06-20,23500.0,CALL,BUY,2024-06-18 09:25:00,121.0,23507.773149562923,2024-06-18 10:15:00,138.4,17.400000000000006,Stoploss
2024-06-18 09:35:00,2024-06-18 09:15:00,2024-06-18 09:15:00,2024-06-18 09:35:00,LONG,23548.1,NIFTY,2024-06-20,23550.0,CALL,BUY,2024-06-18 09:35:00,110.25,23507.773149562923,2024-06-18 10:15:00,106.75,-3.5,Stoploss
2024-06-18 09:35:00,2024-06-18 09:15:00,2024-06-18 09:15:00,2024-06-18 09:35:00,LONG,23548.1,NIFTY,2024-06-20,23550.0,CALL,BUY,2024-06-18 09:35:00,110.25,23507.773149562923,2024-06-18 10:15:00,106.75,-3.5,Stoploss
2024-06-18 15:00:00,2024-06-18 15:00:00,2024-06-18 15:00:00,2024-06-18 15:00:00,LONG,23554.5,NIFTY,2024-06-20,23550.0,CALL,BUY,2024-06-18 15:00:00,89.45,23525.104752990264,2024-06-18 15:15:00,88.75,-0.7000000000000028,Exittime
2024-06-18 15:00:00,2024-06-18 15:00:00,2024-06-18 15:00:00,2024-06-18 15:00:00,LONG,23554.5,NIFTY,2024-06-20,23550.0,CALL,BUY,2024-06-18 15:00:00,89.45,23525.104752990264,2024-06-18 15:15:00,88.75,-0.7000000000000028,Exittime
2024-06-18 15:10:00,2024-06-18 15:00:00,2024-06-18 15:00:00,2024-06-18 15:10:00,LONG,23555.75,NIFTY,2024-06-20,23550.0,CALL,BUY,2024-06-18 15:10:00,84.95,23530.176477073717,2024-06-18 15:15:00,88.75,3.799999999999997,Exittime
2024-06-18 15:10:00,2024-06-18 15:00:00,2024-06-18 15:00:00,2024-06-18 15:10:00,LONG,23555.75,NIFTY,2024-06-20,23550.0,CALL,BUY,2024-06-18 15:10:00,84.95,23530.176477073717,2024-06-18 15:15:00,88.75,3.799999999999997,Exittime
2024-06-19 11:10:00,2024-06-19 10:55:00,2024-06-19 11:10:00,2024-06-19 11:10:00,LONG,23503.65,NIFTY,2024-06-20,23500.0,CALL,BUY,2024-06-19 11:10:00,67.5,23450.81197170417,2024-06-19 13:05:00,105.1,37.599999999999994,MACD Crossover
2024-06-19 11:30:00,2024-06-19 10:55:00,2024-06-19 11:10:00,2024-06-19 11:30:00,LONG,23501.55,NIFTY,2024-06-20,23500.0,CALL,BUY,2024-06-19 11:30:00,72.6,23450.81197170417,2024-06-19 13:05:00,105.1,32.5,MACD Crossover
2024-06-19 11:55:00,2024-06-19 11:55:00,2024-06-19 11:55:00,2024-06-19 11:55:00,LONG,23535.45,NIFTY,2024-06-20,23550.0,CALL,BUY,2024-06-19 11:55:00,71.25,23489.866489539363,2024-06-19 13:05:00,77.15,5.900000000000006,MACD Crossover
2024-06-19 11:10:00,2024-06-19 10:55:00,2024-06-19 11:10:00,2024-06-19 11:10:00,LONG,23503.65,NIFTY,2024-06-20,23500.0,CALL,BUY,2024-06-19 11:10:00,67.5,23450.81197170417,2024-06-19 13:20:00,93.45,25.950000000000003,Stoploss
2024-06-19 11:30:00,2024-06-19 10:55:00,2024-06-19 11:10:00,2024-06-19 11:30:00,LONG,23501.55,NIFTY,2024-06-20,23500.0,CALL,BUY,2024-06-19 11:30:00,72.6,23450.81197170417,2024-06-19 13:20:00,93.45,20.85000000000001,Stoploss
2024-06-19 11:55:00,2024-06-19 11:55:00,2024-06-19 11:55:00,2024-06-19 11:55:00,LONG,23535.45,NIFTY,2024-06-20,23550.0,CALL,BUY,2024-06-19 11:55:00,71.25,23489.866489539363,2024-06-19 13:20:00,67.15,-4.099999999999994,Stoploss
2024-06-19 14:20:00,2024-06-19 14:20:00,2024-06-19 14:05:00,2024-06-19 14:20:00,LONG,23592.65,NIFTY,2024-06-20,23600.0,CALL,BUY,2024-06-19 14:20:00,54.35,23534.88861229681,2024-06-19 14:50:00,85.4,31.050000000000004,Stoploss
2024-06-19 14:20:00,2024-06-19 14:20:00,2024-06-19 14:05:00,2024-06-19 14:20:00,LONG,23592.65,NIFTY,2024-06-20,23600.0,CALL,BUY,2024-06-19 14:20:00,54.35,23534.88861229681,2024-06-19 14:50:00,85.4,31.050000000000004,Stoploss
2024-06-19 14:45:00,2024-06-19 14:20:00,2024-06-19 14:05:00,2024-06-19 14:45:00,LONG,23613.1,NIFTY,2024-06-20,23600.0,CALL,BUY,2024-06-19 14:45:00,98.15,23593.08579584298,2024-06-19 14:50:00,85.4,-12.75,Stoploss
2024-06-19 14:45:00,2024-06-19 14:20:00,2024-06-19 14:05:00,2024-06-19 14:45:00,LONG,23613.1,NIFTY,2024-06-20,23600.0,CALL,BUY,2024-06-19 14:45:00,98.15,23593.08579584298,2024-06-19 14:50:00,85.4,-12.75,Stoploss
2024-06-19 15:00:00,2024-06-19 14:50:00,2024-06-19 15:00:00,2024-06-19 15:00:00,SHORT,23520.8,NIFTY,2024-06-20,23500.0,PUT,BUY,2024-06-19 15:00:00,70.1,23591.525167765314,2024-06-19 15:15:00,70.05,-0.04999999999999716,Exittime
2024-06-19 15:00:00,2024-06-19 14:50:00,2024-06-19 15:00:00,2024-06-19 15:00:00,SHORT,23520.8,NIFTY,2024-06-20,23500.0,PUT,BUY,2024-06-19 15:00:00,70.1,23591.525167765314,2024-06-19 15:15:00,70.05,-0.04999999999999716,Exittime
2024-06-20 13:55:00,2024-06-20 13:50:00,2024-06-20 13:55:00,2024-06-20 13:55:00,SHORT,23536.15,NIFTY,2024-06-20,23550.0,PUT,BUY,2024-06-20 13:55:00,31.55,23602.76237169422,2024-06-20 14:15:00,13.15,-18.4,Stoploss
2024-06-20 13:55:00,2024-06-20 13:50:00,2024-06-20 13:55:00,2024-06-20 13:55:00,SHORT,23536.15,NIFTY,2024-06-20,23550.0,PUT,BUY,2024-06-20 13:55:00,31.55,23602.76237169422,2024-06-20 14:15:00,13.15,-18.4,Stoploss
2024-06-21 14:30:00,2024-06-21 14:20:00,2024-06-21 14:30:00,2024-06-21 14:30:00,SHORT,23426.7,NIFTY,2024-06-27,23450.0,PUT,BUY,2024-06-21 14:30:00,125.35,23513.50917027207,2024-06-21 14:50:00,126.6,1.25,Stoploss
2024-06-21 14:30:00,2024-06-21 14:20:00,2024-06-21 14:30:00,2024-06-21 14:30:00,SHORT,23426.7,NIFTY,2024-06-27,23450.0,PUT,BUY,2024-06-21 14:30:00,125.35,23513.50917027207,2024-06-21 14:50:00,126.6,1.25,Stoploss
2024-06-21 14:45:00,2024-06-21 14:20:00,2024-06-21 14:30:00,2024-06-21 14:45:00,SHORT,23472.15,NIFTY,2024-06-27,23450.0,PUT,BUY,2024-06-21 14:45:00,119.75,23486.599961758468,2024-06-21 14:50:00,126.6,6.849999999999994,Stoploss
2024-06-21 14:45:00,2024-06-21 14:20:00,2024-06-21 14:30:00,2024-06-21 14:45:00,SHORT,23472.15,NIFTY,2024-06-27,23450.0,PUT,BUY,2024-06-21 14:45:00,119.75,23486.599961758468,2024-06-21 14:50:00,126.6,6.849999999999994,Stoploss
2024-06-21 14:55:00,2024-06-21 14:50:00,2024-06-21 14:55:00,2024-06-21 14:55:00,LONG,23510.0,NIFTY,2024-06-27,23500.0,CALL,BUY,2024-06-21 14:55:00,138.05,23445.13214317922,2024-06-21 15:15:00,112.4,-25.650000000000006,Exittime
2024-06-21 14:55:00,2024-06-21 14:50:00,2024-06-21 14:55:00,2024-06-21 14:55:00,LONG,23510.0,NIFTY,2024-06-27,23500.0,CALL,BUY,2024-06-21 14:55:00,138.05,23445.13214317922,2024-06-21 15:15:00,112.4,-25.650000000000006,Exittime
2024-06-24 10:05:00,2024-06-24 10:05:00,2024-06-24 10:05:00,2024-06-24 10:05:00,LONG,23449.35,NIFTY,2024-06-27,23450.0,CALL,BUY,2024-06-24 10:05:00,107.0,23363.768803640596,2024-06-24 12:35:00,189.55,82.55000000000001,MACD Crossover
2024-06-24 10:35:00,2024-06-24 10:05:00,2024-06-24 10:05:00,2024-06-24 10:35:00,LONG,23458.2,NIFTY,2024-06-27,23450.0,CALL,BUY,2024-06-24 10:35:00,125.25,23389.48568434396,2024-06-24 12:35:00,189.55,64.30000000000001,MACD Crossover
2024-06-24 10:45:00,2024-06-24 10:05:00,2024-06-24 10:05:00,2024-06-24 10:45:00,LONG,23477.85,NIFTY,2024-06-27,23500.0,CALL,BUY,2024-06-24 10:45:00,112.85,23417.882416739405,2024-06-24 12:35:00,157.45,44.599999999999994,MACD Crossover
2024-06-24 10:05:00,2024-06-24 10:05:00,2024-06-24 10:05:00,2024-06-24 10:05:00,LONG,23449.35,NIFTY,2024-06-27,23450.0,CALL,BUY,2024-06-24 10:05:00,107.0,23363.768803640596,2024-06-24 14:45:00,154.25,47.25,Stoploss
